 ,it,ft,bt,km,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Fuel Type,RTO,Transmission,Features,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size
Bangalore,0,Petrol,Hatchback,"1,20,000",3,Maruti,Maruti Celerio,2015,3979,VXI,₹ 4 Lakh,Third Party insurance,Petrol,KA51,Manual,8,10,7,5,13,,23.1 kmpl,67.04bhp@6000rpm,90Nm,White,K10B Engine,998,3,4,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3715mm,1635mm,1565mm,2425mm,1420mm,1410mm,835kg,1250kg,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,150 Kmph,15.05 Seconds,"Tubeless, Radial",5,235-litres,,
Bangalore,0,Petrol,SUV,"32,706",2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,₹ 8.11 Lakh,Comprehensive,Petrol,KA05,Manual,9,17,12,12,27,9,17 kmpl,121.31bhp@6500rpm,150Nm,White,Ti-VCT Petrol Engine,1497,3,4,DOHC,Direct Injection,79 X 76.5 mm,11.0:1,No,No,3998mm,1765mm,1647mm,2519mm,,,1242Kg,1660Kg,5 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Drum,,,"Tubeless,Radial",4,352-litres,16,16
Bangalore,0,Petrol,Hatchback,"11,949",1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,₹ 5.85 Lakh,Comprehensive,Petrol,KA03,Manual,9,14,12,13,24,8,23.84 kmpl,84bhp@6000rpm,114Nm,Red,Revotron Engine,1199,3,4,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,14.3 Seconds,Tubeless,5,242-litres,14,14
Bangalore,0,Petrol,Sedan,"17,794",1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,₹ 4.62 Lakh,Comprehensive,Petrol,KA53,Manual,9,16,10,10,18,7,19.1 kmpl,81.86bhp@6000rpm,113.75Nm,Others,Kappa VTVT Petrol Engine,1197,4,4,DOHC,Direct Injection,,,No,No,3995mm,1660mm,1520mm,2425mm,1479mm,1493mm,1180,,5 Speed ,FWD ,5,Power,4.7 metres,Disc ,Drum,172km/hr,14.2 Seconds,"Tubeless,Radial",4,407-litres,14,14
Bangalore,0,Diesel,SUV,"60,000",1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,₹ 7.90 Lakh,Third Party insurance,Diesel,KA04,Manual,9,21,11,13,22,8,23.65 kmpl,88.5bhp@4000rpm,200Nm,Gray,DDiS 200 Diesel Engine,1248,4,4,DOHC,,69.6 x 82 mm,,Yes,No,4300mm,1785mm,1595mm,2600mm,,,1230Kg,1670kg,5 Speed,FWD,5,Power,5.2 meters,Ventilated Disc,Solid Disc,190 Kmph,12 Seconds,"Tubeless,Radial",5,353-litres,16,16
Bangalore,0,Diesel,SUV,"20,000",1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,₹ 19 Lakh,Third Party insurance,Diesel,KA04,Manual,9,13,11,15,22,8,17.1 kmpl,170bhp@3750rpm,350Nm,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,4,4,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1551 kgs,,6 Speed,4X2,5,power,,Disc,Discs,,,"Radial, Tubless",5,408-litres,17,17
Bangalore,0,Petrol,Hatchback,"37,772",1,Datsun,Datsun GO,2017,5223,T Option BSIV,₹ 3.45 Lakh,Comprehensive,Petrol,KA05,Manual,9,11,8,5,17,5,20.63 kmpl,67bhp@5000rpm,104Nm,Grey,Petrol Engine,1198,3,4,DOHC,Electronic Injection System,,,No,No,3785mm,1635mm,1490mm,2450mm,1440mm,1445mm,1070,,5 Speed,FWD,5,Power,4.6 metres, Disc,Drum,150 Kmph,13.3 Seconds,Tubeless,5,265-litres,,
Bangalore,0,Petrol,SUV,"30,000",1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,₹ 12 Lakh,Third Party insurance,Petrol,KA51,Automatic,9,20,11,12,31,6,18.15 kmpl,118.35bhp@6000rpm,171.6Nm,Others,,998,3,4,,GDi,,,Yes,,3995 mm,1770 mm,1605 mm,2500 mm,,,1440,,7-Speed,FWD,5,Power,,Disc,Drum,,,Radial,5,350,16,16
Bangalore,0,Petrol,Sedan,"37,000",1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,₹ 9.60 Lakh,Comprehensive,Petrol,KA03,Automatic,9,22,12,11,29,8,20.28 kmpl,103.25bhp@6000rpm,138Nm,Maroon,k15B VVT Engine,1462,4,4,DOHC,MPFI,74 x 85 mm,,No,No,4490 mm,1730 mm,1485 mm,2650 mm,,,1105,1530Kg,4 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Drum,,,"Tubeless, Radial",4,510-litres,16,16
Bangalore,0,Petrol,Hatchback,"11,949",1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,₹ 5.85 Lakh,Comprehensive,Petrol,KA03,Manual,9,14,11,13,24,8,23.84 kmpl,84bhp@6000rpm,114Nm,Red,Revotron Engine,1199,3,4,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,14.3 Seconds,Tubeless,5,242-litres,,
Bangalore,0,Petrol,Hatchback,"50,000",1,Maruti,Maruti Baleno,2018,3962,1.2 Delta,₹ 6.90 Lakh,Third Party insurance,Petrol,,Manual,9,11,10,12,24,8,21.4 kmpl,83.1bhp@6000rpm,115Nm,Red,VVT Petrol Engine,1197,4,4,DOHC,MPFI,,,No,No,3995mm,1745mm,1510mm,2520mm,1515mm,1525mm,870kg,1340kg,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,180 Kmph,12.36 seconds,"Tubeless,Radial",5,339-litres,,
Bangalore,0,Petrol,Hatchback,"24,887",1,Hyundai,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,₹ 6.82 Lakh,Third Party insurance,Petrol,KA51,Automatic,9,15,9,11,24,7,18.9 kmpl,81.86bhp@6000rpm,113.75nm,Orange,Kappa VTVT Petrol Engine,1197,4,4,DOHC,MPFI,,,No,No,3765mm,1660mm,1520mm,2425mm,1479mm,1493mm,1200,,4 Speed,FWD,5,Power,4.8 metres,Disc,Drum,165 Kmph,12.9 Seconds,Tubeless,5,256,14,14
Bangalore,0,Petrol,Hatchback,"23,000",1,Honda,Honda Jazz,2018,6506,VX CVT,₹ 8.25 Lakh,Comprehensive,Petrol,KA03,Automatic,9,21,13,13,25,9,18.2 kmpl,88.7bhp@6000rpm,110Nm,Grey,i-VTEC Petrol Engine,1199,4,4,SOHC,PGM - Fi,,,No,No,3955 mm,1694 mm,1544 mm,2530 mm,,,1066 Kg,,5 Speed,FWD,5,Power,5.1 meters,Disc,Drum,172 Kmph,13.7 Seconds,"Tubeless,Radial",5,354-litres,15,15
Bangalore,0,Petrol,Hatchback,"48,928",1,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,₹ 5.95 Lakh,Comprehensive,Petrol,KA03,Automatic,9,17,11,13,24,8,23.84 kmpl,83.83bhp@6000rpm,114Nm,Red,Revotron Engine,1199,3,4,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,,Tubeless,5,242-litres,14,14
Bangalore,0,Diesel,SUV,"1,08,862",3,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,₹ 6.90 Lakh,Comprehensive,Diesel,KA01,Manual,9,17,10,11,20,4,15.1 kmpl,140bhp@3750rpm,330Nm,Silver,mHawk Diesel Engine,2179,4,4,DOHC,Direct Injection ,,,Yes,No,4585mm,1890mm,1785mm,2700mm,,,1900,2450kg,6 Speed ,FWD,7,Power,5.6 metres,Disc & Caliper Type,Disc & Caliper Type,175 kmph,12.5 Seconds,"Tubeless,Radial ",5,,,
Bangalore,0,Diesel,SUV,"80,000",1,Jeep,Jeep Compass,2018,5929,2.0 Limited,₹ 13.50 Lakh,Third Party insurance,Diesel,OD02,Manual,9,14,12,16,23,8,17.1 kmpl,170bhp@3750rpm,350Nm,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,4,4,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1562 kgs,,6 Speed,4X2,5,Power,,Disc,Discs,,,"Radial, Tubless",5,408-litres,17,17
Bangalore,0,Diesel,SUV,"16,000",1,Mercedes-Benz,Mercedes-Benz GLA,2022,8437,220d 4M BSVI,₹ 55.95 Lakh,Comprehensive,Diesel,KA01,Automatic,9,26,15,23,33,12,,187.74bhp@3800rpm,400Nm,Blue,,1950,4,4,,,,,Yes,,4436mm,2020mm,1611mm,2729mm,1617mm,1596mm,1675,,8G-DCT,AWD,5,,,Disc,Disc,219kmph,7.3sec,"Tubeless,Radial",5,,19,19
Bangalore,0,Diesel,Hatchback,"65,376",2,Hyundai,Hyundai i20,2014,1657,Asta 1.4 CRDi,₹ 5.21 Lakh,Comprehensive,Diesel,KA41,Manual,9,11,11,13,20,4,21.27 kmpl,88.76bhp@4000rpm,219.6Nm,Blue,U2 CRDI Diesel Engine,1396,4,4,DOHC,CRDI,,,No,No,3995mm,1710mm,1505mm,2525mm,1505mm,1503mm,1120,,6 Speed,FWD,5,Power,,Disc,Disc,,,"Tubeless,Radial",5,,14,14
Bangalore,0,Petrol,SUV,"10,000",1,Tata,Tata Nexon,2022,9207,XM Plus S BSVI,₹ 10.05 Lakh,Third Party insurance,Petrol,KA02,Manual,9,14,10,11,23,11,17.33 kmpl,118.35bhp@5500rpm,170Nm,Others,1.2l Turbocharged Revotron Engine,1199,3,4,,,,,NO,,3993,1811,1606,2498,,,1315,,6 Speed,,5,Electric,5.1,Disc,Drum,,,"Tubeless,Radial",5,350,,
Bangalore,0,Petrol,Sedan,"67,000",2,Honda,Honda City,2016,1215,i VTEC V,₹ 7.75 Lakh,Comprehensive,Petrol,KA53,Manual,9,17,12,10,23,7,17.8 kmpl,117.3bhp@6600rpm,145Nm,Brown,i VTEC Engine,1497,4,4,SOHC,PGM-Fi,73.0 X 89.4 mm,10.3:1,No,No,4440mm,1695mm,1495mm,2600mm,1480mm,1465mm,1049kg,,5 Speed,FWD,5,Power,5.3 metres,Disc,Drum,195 Kmph,10 Seconds,"Tubeless,Radial",4,510-litres,15,15
Bangalore,0,Diesel,Sedan,"1,00,000",3,BMW,BMW 5 Series,2011,5293,520d Sedan,₹ 22 Lakh,Third Party insurance,Diesel,,Automatic,9,19,12,12,27,6,18.48 kmpl,"177 @ 4,000 (PS@rpm)",35.7,White,In-Line Engine,1995,4,4,,CRDi,84.0 x 90.0 mm,16.0:1,No,Yes,4841mm,1846mm,1468mm,2888mm,1558mm,1581mm,1600kg,2160kg,6 Speed,,5,Power,,Ventilated discs,Ventilated discs,226km/hr,8.3 seconds,"Tubeless,Radial",4,520 litres,17,17
Bangalore,0,Petrol,Hatchback,"18,083",1,Maruti,Maruti Swift,2016,10403,VXI,₹ 5.82 Lakh,Comprehensive,Petrol,KA04,Manual,9,11,7,7,26,6,22.38 kmpl,88.50bhp@6000rpm,113Nm,Silver,K Series Dual jet,1197,4,4,,,,,,,3845mm,1735,1530,2450,1530,1530,875-905,1335,5-Speed,,5,Electric,4.8,Disc,Drum,,,"Radial, Tubeless",5,268,,
Bangalore,0,Petrol,SUV,"30,000",1,Renault,Renault Duster,2020,7703,RXS,₹ 10.90 Lakh,Third Party insurance,Petrol,KA01,Manual,9,15,10,11,23,11,16.42 kmpl,104.55bhp@5600rpm,142Nm ,Others,1.5L Petrol,1498,4,4,DOHC,Multi Point Fuel Injection,,,No,No,4360,1822,1695,2673,1560,1567,1315,,5-Speed,FWD,5,Power,5.2m,Disc,Drum,,,Tubeless Radial Tyres,5,475,,
Bangalore,0,Petrol,Hatchback,"57,634",2,Tata,Tata Tiago,2016,2983,1.2 Revotron XZ,₹ 4.57 Lakh,Comprehensive,Petrol,KA05,Manual,9,14,12,13,24,8,23.84 kmpl,84bhp@6000rpm,114Nm,Silver,Revotron Engine,1199,3,4,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,14.3 Seconds,Tubeless,5,242-litres,14,14
Bangalore,0,Petrol,Sedan,"50,000",2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4716,S 500 L,₹ 49 Lakh,Third Party insurance,Petrol,,Automatic,9,25,12,14,29,11,7.81 kmpl,453.26bhp@5250-5500rpm,700Nm,Others,V-Type Petrol Engine,4663,8,4,DOHC,Direct Injection,,10.5:1,Yes,No,5246mm,2130mm,1494mm,3165mm,1624mm,1637mm,2200kg,2730kg,7 Speed,RWD,5,Power,6.15 metres ,Disc,Disc,250 kmph,4.8 Seconds,"Tubeless,Radial",4,530-litres,19,19
