oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
13,77,2015,2015.0,23.1,3,1,3,400000.0,5.0,0,120000.0,2.5531914893617023,3.5294117647058827,1.5384615384615383,2,0
6,22,2018,2018.0,17.0,3,1,2,811000.0,5.0,0,32706.0,5.531914893617022,6.470588235294118,4.230769230769231,0,4
21,133,2018,2018.0,23.84,3,1,1,585000.0,5.0,0,11949.0,4.893617021276596,6.470588235294118,4.615384615384615,0,0
8,51,2014,2014.0,19.1,3,1,1,462000.0,5.0,0,17794.0,3.617021276595745,5.294117647058824,3.4615384615384617,0,3
13,88,2015,2015.0,23.65,1,1,1,790000.0,5.0,0,60000.0,4.468085106382979,5.882352941176471,4.615384615384615,2,4
9,57,2020,2020.0,17.1,1,1,1,1900000.0,6.0,0,20000.0,4.468085106382979,5.882352941176471,5.384615384615384,2,4
4,11,2017,2017.0,20.63,3,1,1,345000.0,5.0,0,37772.0,3.404255319148936,4.11764705882353,1.5384615384615383,0,0
8,49,2021,2021.0,18.15,3,0,1,1200000.0,7.0,0,30000.0,6.382978723404256,5.882352941176471,4.230769230769231,2,4
13,79,2018,2018.0,20.28,3,0,1,960000.0,4.0,0,37000.0,5.957446808510639,6.470588235294118,3.8461538461538463,0,3
21,133,2017,2018.0,23.84,3,1,1,585000.0,5.0,0,11949.0,4.893617021276596,5.882352941176471,4.615384615384615,0,0
13,74,2018,2018.0,21.4,3,1,1,690000.0,5.0,0,50000.0,4.893617021276596,5.294117647058824,4.230769230769231,2,0
8,43,2019,2019.0,18.9,3,0,1,682000.0,4.0,0,24887.0,4.893617021276596,4.705882352941177,3.8461538461538463,2,0
7,33,2018,2018.0,18.2,3,0,1,825000.0,5.0,0,23000.0,5.1063829787234045,7.058823529411765,4.615384615384615,0,0
21,133,2018,2018.0,23.84,3,0,1,595000.0,5.0,0,48928.0,4.893617021276596,5.882352941176471,4.615384615384615,0,0
9,57,2018,2018.0,17.1,1,1,1,1350000.0,6.0,0,80000.0,4.680851063829787,6.470588235294118,5.769230769230769,2,4
8,54,2014,2014.0,21.27,1,1,2,521000.0,6.0,0,65376.0,4.042553191489362,5.882352941176471,4.615384615384615,0,0
21,131,2022,2022.0,17.33,3,1,1,1005000.0,6.0,0,10000.0,4.680851063829787,5.294117647058824,3.8461538461538463,2,4
7,30,2016,2016.0,17.8,3,1,2,775000.0,5.0,0,67000.0,4.680851063829787,6.470588235294118,3.4615384615384617,0,3
13,89,2016,2016.0,22.38,3,1,1,582000.0,5.0,0,18083.0,5.319148936170214,3.5294117647058827,2.307692307692308,0,0
19,110,2020,2020.0,16.42,3,1,1,1090000.0,5.0,0,30000.0,4.680851063829787,5.294117647058824,3.8461538461538463,2,4
21,133,2016,2016.0,23.84,3,1,2,457000.0,5.0,0,57634.0,4.893617021276596,6.470588235294118,4.615384615384615,0,0
7,30,2015,2015.0,17.4,3,1,1,550000.0,5.0,0,110000.0,4.680851063829787,5.294117647058824,2.6923076923076925,2,3
8,45,2018,2018.0,20.3,3,0,1,570000.0,5.0,0,23447.0,4.680851063829787,4.11764705882353,3.076923076923077,0,0
8,46,2009,2009.0,13.45,2,1,2,220000.00000000003,5.0,0,30000.0,3.191489361702128,2.941176470588235,1.9230769230769236,2,0
9,57,2021,2021.0,17.1,1,1,1,2565000.0,6.0,0,31344.0,7.872340425531916,7.058823529411765,8.461538461538462,0,4
8,51,2018,2018.0,20.14,3,1,1,674000.0,5.0,0,50000.0,5.957446808510639,5.294117647058824,4.230769230769231,2,3
13,93,2015,2015.0,20.51,3,1,1,349000.0,5.0,0,12434.0,3.404255319148936,5.294117647058824,3.8461538461538463,0,0
13,93,2015,2015.0,20.51,3,1,2,406000.0,5.0,0,40987.0,3.404255319148936,5.294117647058824,3.8461538461538463,0,0
8,54,2016,2016.0,18.6,3,1,1,594000.0,5.0,0,89667.0,4.255319148936171,5.294117647058824,3.4615384615384617,0,0
8,54,2017,2017.0,22.54,1,1,1,710000.0,6.0,0,120000.0,5.531914893617022,5.882352941176471,4.230769230769231,2,0
