city,bt,km,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,RTO,Transmission,Features,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Color,Engine Type,Displacement,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,Cargo Volumn,Wheel Size
Bangalore,Hatchback,120000.0,3,Maruti,Maruti Celerio,2015,3979,VXI,400000.0,2015.0,Third Party,Petrol,KA51,Manual,8,10.0,7.0,5.0,13.0,7.0,23.1,67.04,90.0,White,K10B Engine,998.0,3.0,4.0,DOHC,MPFI,No,No,3715.0,1635.0,1565.0,2425.0,1420.0,1410.0,835.0,5.0,FWD,5.0,Power,4.7,Ventilated Disc,Drum,150.0,15.05,"Tubeless, Radial",235.0,16.0
Bangalore,Suv,32706.0,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,811000.0,2018.0,Comprehensive,Petrol,KA05,Manual,9,17.0,12.0,12.0,27.0,9.0,17.0,121.31,150.0,White,Ti-Vct Petrol Engine,1497.0,3.0,4.0,DOHC,Direct Injection,No,No,3998.0,1765.0,1647.0,2519.0,1519.0,1524.0,1242.0,5.0,FWD,5.0,Power,5.3,Ventilated Disc,Drum,171.43,12.51,"Tubeless, Radial",352.0,16.0
Bangalore,Hatchback,11949.0,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,585000.0,2018.0,Comprehensive,Petrol,KA03,Manual,9,14.0,12.0,13.0,24.0,8.0,23.84,84.0,114.0,Red,Revotron Engine,1199.0,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,FWD,5.0,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,242.0,14.0
Bangalore,Sedan,17794.0,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,462000.0,2014.0,Comprehensive,Petrol,KA53,Manual,9,16.0,10.0,10.0,18.0,7.0,19.1,81.86,113.75,Others,Kappa Vtvt Petrol Engine,1197.0,4.0,4.0,DOHC,Direct Injection,No,No,3995.0,1660.0,1520.0,2425.0,1479.0,1493.0,1180.0,5.0,FWD ,5.0,Power,4.7,Disc,Drum,172.0,14.2,"Tubeless, Radial",407.0,14.0
Bangalore,Suv,60000.0,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,790000.0,2015.0,Third Party,Diesel,KA04,Manual,9,21.0,11.0,13.0,22.0,8.0,23.65,88.5,200.0,Grey,Ddis 200 Diesel Engine,1248.0,4.0,4.0,DOHC,MPFI,Yes,No,4300.0,1785.0,1595.0,2600.0,1295.0,1290.0,1230.0,5.0,FWD,5.0,Power,5.2,Ventilated Disc,Disc,190.0,12.0,"Tubeless, Radial",353.0,16.0
Bangalore,Suv,20000.0,1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,1900000.0,2020.0,Third Party,Diesel,KA04,Manual,9,13.0,11.0,15.0,22.0,8.0,17.1,170.0,350.0,Others,2.0-Litre 4-Cyl Multijet Ii Engine,1956.0,4.0,4.0,DOHC,Crdi,Yes,No,4395.0,1818.0,1640.0,2636.0,1295.0,1290.0,1551.0,6.0,4X2,5.0,Power,5.3,Disc,Discs,165.0,10.03,"Radial, Tubless",408.0,17.0
Bangalore,Hatchback,37772.0,1,Datsun,Datsun GO,2017,5223,T Option BSIV,345000.0,2017.0,Comprehensive,Petrol,KA05,Manual,9,11.0,8.0,5.0,17.0,5.0,20.63,67.0,104.0,Grey,Petrol Engine,1198.0,3.0,4.0,DOHC,EFI,No,No,3785.0,1635.0,1490.0,2450.0,1440.0,1445.0,1070.0,5.0,FWD,5.0,Power,4.6,Disc,Drum,150.0,13.3,Tubeless,265.0,16.0
Bangalore,Suv,30000.0,1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,1200000.0,2021.0,Third Party,Petrol,KA51,Automatic,9,20.0,11.0,12.0,31.0,6.0,18.15,118.35,171.6,Others,Kappa 1.0 L Turbo Gdi Petrol,998.0,3.0,4.0,DOHC,Gdi,Yes,No,3995.0,1770.0,1605.0,2500.0,1295.0,1290.0,1440.0,7.0,FWD,5.0,Power,5.3,Disc,Drum,165.0,12.36,Radial,350.0,16.0
Bangalore,Sedan,37000.0,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,960000.0,2018.0,Comprehensive,Petrol,KA03,Automatic,9,22.0,12.0,11.0,29.0,8.0,20.28,103.25,138.0,Maroon,K15B Vvt Engine,1462.0,4.0,4.0,DOHC,MPFI,No,No,4490.0,1730.0,1485.0,2650.0,1495.0,1505.0,1105.0,4.0,FWD,5.0,Power,5.4,Ventilated Disc,Drum,190.0,14.0,"Tubeless, Radial",510.0,16.0
Bangalore,Hatchback,11949.0,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,585000.0,2018.0,Comprehensive,Petrol,KA03,Manual,9,14.0,11.0,13.0,24.0,8.0,23.84,84.0,114.0,Red,Revotron Engine,1199.0,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,FWD,5.0,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,242.0,14.0
Bangalore,Hatchback,50000.0,1,Maruti,Maruti Baleno,2018,3962,1.2 Delta,690000.0,2018.0,Third Party,Petrol,KA03,Manual,9,11.0,10.0,12.0,24.0,8.0,21.4,83.1,115.0,Red,Vvt Petrol Engine,1197.0,4.0,4.0,DOHC,MPFI,No,No,3995.0,1745.0,1510.0,2520.0,1515.0,1525.0,870.0,5.0,FWD,5.0,Power,4.9,Disc,Drum,180.0,12.36,"Tubeless, Radial",339.0,16.0
Bangalore,Hatchback,24887.0,1,Hyundai,Hyundai Grand i10,2019,5606,1.2 Kappa Sportz Option AT,682000.0,2019.0,Third Party,Petrol,KA51,Automatic,9,15.0,9.0,11.0,24.0,7.0,18.9,81.86,113.75,Orange,Kappa Vtvt Petrol Engine,1197.0,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1479.0,1493.0,1200.0,4.0,FWD,5.0,Power,4.8,Disc,Drum,165.0,12.9,Tubeless,256.0,14.0
Bangalore,Hatchback,23000.0,1,Honda,Honda Jazz,2018,6506,VX CVT,825000.0,2018.0,Comprehensive,Petrol,KA03,Automatic,9,21.0,13.0,13.0,25.0,9.0,18.2,88.7,110.0,Grey,I-Vtec Petrol Engine,1199.0,4.0,4.0,SOHC,Pgm - Fi,No,No,3955.0,1694.0,1544.0,2530.0,1295.0,1290.0,1066.0,5.0,FWD,5.0,Power,5.1,Disc,Drum,172.0,13.7,"Tubeless, Radial",354.0,15.0
Bangalore,Hatchback,48928.0,1,Tata,Tata Tiago,2018,5653,1.2 Revotron XZA,595000.0,2018.0,Comprehensive,Petrol,KA03,Automatic,9,17.0,11.0,13.0,24.0,8.0,23.84,83.83,114.0,Red,Revotron Engine,1199.0,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,FWD,5.0,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,242.0,14.0
Bangalore,Suv,108862.0,3,Mahindra,Mahindra XUV500,2014,3822,W6 2WD,690000.0,2014.0,Comprehensive,Diesel,KA01,Manual,9,17.0,10.0,11.0,20.0,4.0,15.1,140.0,330.0,Silver,Mhawk Diesel Engine,2179.0,4.0,4.0,DOHC,Direct Injection,Yes,No,4585.0,1890.0,1785.0,2700.0,1295.0,1290.0,1900.0,6.0,FWD,7.0,Power,5.6,Disc & Caliper Type,Disc,175.0,12.5,"Tubeless, Radial",510.0,17.0
Bangalore,Suv,80000.0,1,Jeep,Jeep Compass,2018,5929,2.0 Limited,1350000.0,2018.0,Third Party,Diesel,OD02,Manual,9,14.0,12.0,16.0,23.0,8.0,17.1,170.0,350.0,Others,2.0-Litre 4-Cyl Multijet Ii Engine,1956.0,4.0,4.0,DOHC,Crdi,Yes,No,4395.0,1818.0,1640.0,2636.0,1295.0,1290.0,1562.0,6.0,4X2,5.0,Power,5.3,Disc,Discs,186.69,10.03,"Radial, Tubless",408.0,17.0
Bangalore,Suv,16000.0,1,Mercedes-Benz,Mercedes-Benz GLA,2022,8437,220d 4M BSVI,5595000.0,2022.0,Comprehensive,Diesel,KA01,Automatic,9,26.0,15.0,23.0,33.0,12.0,19.4,187.74,400.0,Blue,In-Line Engine,1950.0,4.0,4.0,DOHC,MPFI,Yes,No,4436.0,2020.0,1611.0,2729.0,1617.0,1596.0,1675.0,8.0,AWD,5.0,Power,5.3,Disc,Disc,219.0,7.3,"Tubeless, Radial",510.0,19.0
Bangalore,Hatchback,65376.0,2,Hyundai,Hyundai i20,2014,1657,Asta 1.4 CRDi,521000.0,2014.0,Comprehensive,Diesel,KA41,Manual,9,11.0,11.0,13.0,20.0,4.0,21.27,88.76,219.6,Blue,U2 Crdi Diesel Engine,1396.0,4.0,4.0,DOHC,Crdi,No,No,3995.0,1710.0,1505.0,2525.0,1505.0,1503.0,1120.0,6.0,FWD,5.0,Power,5.2,Disc,Disc,170.0,11.9,"Tubeless, Radial",295.0,14.0
Bangalore,Suv,10000.0,1,Tata,Tata Nexon,2022,9207,XM Plus S BSVI,1005000.0000000001,2022.0,Third Party,Petrol,KA02,Manual,9,14.0,10.0,11.0,23.0,11.0,17.33,118.35,170.0,Others,1.2L Turbocharged Revotron Engine,1199.0,3.0,4.0,DOHC,MPFI,No,No,3993.0,1811.0,1606.0,2498.0,1295.0,1290.0,1315.0,6.0,FWD,5.0,Electric,5.1,Disc,Drum,165.0,12.36,"Tubeless, Radial",350.0,16.0
Bangalore,Sedan,67000.0,2,Honda,Honda City,2016,1215,i VTEC V,775000.0,2016.0,Comprehensive,Petrol,KA53,Manual,9,17.0,12.0,10.0,23.0,7.0,17.8,117.3,145.0,Brown,I Vtec Engine,1497.0,4.0,4.0,SOHC,Pgm-Fi,No,No,4440.0,1695.0,1495.0,2600.0,1480.0,1465.0,1049.0,5.0,FWD,5.0,Power,5.3,Disc,Drum,195.0,10.0,"Tubeless, Radial",510.0,15.0
Bangalore,Sedan,100000.0,3,Bmw,BMW 5 Series,2011,5293,520d Sedan,2200000.0,2011.0,Third Party,Diesel,KA03,Automatic,9,19.0,12.0,12.0,27.0,6.0,18.48,177.0,35.7,White,In-Line Engine,1995.0,4.0,4.0,DOHC,Crdi,No,Yes,4841.0,1846.0,1468.0,2888.0,1558.0,1581.0,1600.0,6.0,FWD,5.0,Power,5.3,Ventilated Disc,Ventilated Discs,226.0,8.3,"Tubeless, Radial",520.0,17.0
Bangalore,Hatchback,18083.0,1,Maruti,Maruti Swift,2016,10403,VXI,582000.0,2016.0,Comprehensive,Petrol,KA04,Manual,9,11.0,7.0,7.0,26.0,6.0,22.38,88.5,113.0,Silver,K Series Dual Jet,1197.0,4.0,4.0,DOHC,MPFI,No,No,3845.0,1735.0,1530.0,2450.0,1530.0,1530.0,875.0,5.0,FWD,5.0,Electric,4.8,Disc,Drum,155.0,12.6,"Tubeless, Radial",268.0,15.0
Bangalore,Suv,30000.0,1,Renault,Renault Duster,2020,7703,RXS,1090000.0,2020.0,Third Party,Petrol,KA01,Manual,9,15.0,10.0,11.0,23.0,11.0,16.42,104.55,142.0,Others,1.5L Petrol,1498.0,4.0,4.0,DOHC,MPFI,No,No,4360.0,1822.0,1695.0,2673.0,1560.0,1567.0,1315.0,5.0,FWD,5.0,Power,5.2,Disc,Drum,165.0,12.36,Tubeless Radial Tyres,475.0,17.0
Bangalore,Hatchback,57634.0,2,Tata,Tata Tiago,2016,2983,1.2 Revotron XZ,457000.0,2016.0,Comprehensive,Petrol,KA05,Manual,9,14.0,12.0,13.0,24.0,8.0,23.84,84.0,114.0,Silver,Revotron Engine,1199.0,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,FWD,5.0,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,242.0,14.0
Bangalore,Sedan,50000.0,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4716,S 500 L,4900000.0,2016.0,Third Party,Petrol,KA03,Automatic,9,25.0,12.0,14.0,29.0,11.0,7.81,453.26,700.0,Others,V-Type Petrol Engine,4663.0,8.0,4.0,DOHC,Direct Injection,Yes,No,5246.0,2130.0,1494.0,3165.0,1624.0,1637.0,2200.0,7.0,RWD,5.0,Power,6.15,Disc,Disc,250.0,4.8,"Tubeless, Radial",530.0,19.0
Bangalore,Sedan,110000.0,1,Honda,Honda City,2015,1279,i VTEC V,550000.0,2015.0,Third Party,Petrol,HR26,Manual,9,17.0,10.0,8.0,23.0,4.0,17.4,117.3,145.0,Others,I Vtec Engine,1497.0,4.0,4.0,SOHC,Pgm-Fi,No,No,4440.0,1695.0,1495.0,2600.0,1480.0,1465.0,1049.0,5.0,FWD,5.0,Power,5.3,Disc,Drum,195.0,10.0,"Tubeless, Radial",510.0,15.0
Bangalore,Hatchback,23447.0,1,Hyundai,Hyundai Santro,2018,6670,Sportz AMT BSIV,570000.0,2018.0,Comprehensive,Petrol,KA04,Automatic,9,13.0,8.0,9.0,23.0,7.0,20.3,68.0,99.0,Yellow,1.1 Litre Petrol Engine,1086.0,4.0,3.0,DOHC,MPFI,No,No,3610.0,1645.0,1560.0,2400.0,1463.0,1481.0,1050.0,5.0,FWD,5.0,Power,5.3,Disc,Drum,165.0,12.36,"Tubeless, Radial",235.0,16.0
Bangalore,Hatchback,30000.0,2,Hyundai,Hyundai Santro Xing,2009,1712,GLS LPG,220000.00000000003,2009.0,Third Party,LPG,KA03,Manual,9,8.0,6.0,6.0,16.0,4.0,13.45,62.1,96.1,Others,Bifuel Engine,1086.0,3.0,4.0,SOHC,Mpfi+Lpg,No,No,3565.0,1525.0,1590.0,2380.0,1315.0,1300.0,845.0,5.0,FWD,5.0,Power,4.4,Ventilated Disc,Drum,141.0,12.36,"Tubeless, Radial",218.0,13.0
